S.No,Radius(m),particle density(kg/m^3),fluid density(kg/m^3),Viscosity(Pa.s),Terminal velocity(m/s),Drag(N),cd,Reynolds,Region,iterations,error
1,0.001,7600.0,1200.0,1.4,0.009875691964285713,0.00026298567878903044,1430.5264938207542,0.016929757653061223,Stokes region,13,1.2644742650880558e-05
2,0.001,5323.0,1200.0,1.4,0.006376996301269531,0.00016941925500031895,2210.188497574808,0.010931993659319197,Stokes region,14,1.8843785734266824e-05
3,0.001,3500.0,1200.0,1.4,0.003565252685546875,9.451011803643196e-05,3944.541695632372,0.006111861746651786,Stokes region,14,1.645674134834363e-05
4,0.001,2600.0,1200.0,1.4,0.0021730810546875005,5.753075218569855e-05,6463.192304849772,0.0037252818080357156,Stokes region,13,3.315750860484362e-05
5,0.001,2267.0,1200.0,1.4,0.001657009469168527,4.3844221206849844e-05,8471.518364616728,0.0028405876614317604,Stokes region,13,2.2279292787302163e-05
6,0.003,7600.0,1200.0,1.4,0.08278282366071428,0.007100531291530211,61.07545929307228,0.4257402359693878,Stokes region,14,2.4197932848262367e-05
7,0.003,5323.0,1200.0,1.4,0.05438119372558595,0.004574374693456972,91.17811925700467,0.2796747105887277,Stokes region,13,6.862241605467329e-06
8,0.003,3500.0,1200.0,1.4,0.030922610386439738,0.0025519182934035504,157.31525391340372,0.1590305677016901,Stokes region,14,4.040725920202781e-05
9,0.003,2600.0,1200.0,1.4,0.019040405273437498,0.001553213138613389,252.5428323585541,0.09792208426339287,Stokes region,13,4.2276727674713854e-05
10,0.003,2267.0,1200.0,1.4,0.014584522757393973,0.0011838524995552836,328.0722657529828,0.07500611703802615,Stokes region,13,2.7159771571753332e-05
11,0.005,7600.0,1200.0,1.4,0.204162109375,0.03287362842146715,16.736175521253,1.7499609375000003,Intermediate region,14,8.804333241246475e-08
12,0.005,5323.0,1200.0,1.4,0.13743222488403317,0.02117781625532741,23.793749745999314,1.1779904990059986,Intermediate region,15,4.868422161813968e-07
13,0.005,3500.0,1200.0,1.4,0.08022911507742747,0.011813721375874697,38.94767955679382,0.6876781292350926,Stokes region,15,2.0128556923487034e-05
14,0.005,2600.0,1200.0,1.4,0.05026879882812501,0.0071907531071997086,60.385995467608964,0.4308754185267858,Stokes region,12,4.901567126338876e-05
15,0.005,2267.0,1200.0,1.4,0.03880383558000838,0.005480565613535827,77.23869692881888,0.33260430497150045,Stokes region,14,1.5352617796778275e-05
16,0.007,7600.0,1200.0,1.4,0.34856582031250005,0.09020275719812344,8.03809272916277,4.182789843750001,Intermediate region,15,2.7395844520685434e-05
17,0.007,5323.0,1200.0,1.4,0.24008603452148441,0.05811247224342175,10.915367236933994,2.8810324142578136,Intermediate region,12,9.855642890789838e-06
18,0.007,3500.0,1200.0,1.4,0.1440316180419922,0.032418450992731634,16.919182597033608,1.7283794165039064,Intermediate region,15,2.9213222530101445e-05
19,0.007,2600.0,1200.0,1.4,0.09203966918945314,0.019732585654064626,25.219512973015284,1.1044760302734378,Intermediate region,15,9.726715743422174e-06
20,0.007,2267.0,1200.0,1.4,0.07171261152343751,0.015039437762435597,31.662362816253232,0.8605513382812502,Stokes region,10,3.5563256642547625e-05
21,0.01,7600.0,1200.0,1.4,0.5777851562500003,0.2629925332539568,4.179357622208008,9.904888392857147,Intermediate region,15,1.3418951329968868e-05
22,0.01,5323.0,1200.0,1.4,0.4085838787841797,0.16942080196785225,5.383976506775926,7.004295064871651,Intermediate region,15,9.712955932844805e-06
23,0.01,3500.0,1200.0,1.4,0.25367723737444203,0.09450887583458821,7.791273958690915,4.348752640704721,Intermediate region,15,2.9600110830545416e-05
24,0.01,2600.0,1200.0,1.4,0.16661352539062502,0.057531430169908734,10.994703947030265,2.856231863839286,Intermediate region,14,4.494262638423171e-05
25,0.01,2267.0,1200.0,1.4,0.13161766156877797,0.04384518488961301,13.427415924472909,2.2563027697504796,Intermediate region,15,3.000839779107662e-07
26,0.03,7600.0,1200.0,1.4,1.9621368582589287,7.100582492841747,1.0871557141334907,100.90989556760205,Intermediate region,17,1.6987194599575175e-05
27,0.03,5323.0,1200.0,1.4,1.4705316636657715,4.574302712565853,1.2469025366735877,75.6273427028111,Intermediate region,17,2.2597812474221314e-05
28,0.03,3500.0,1200.0,1.4,0.9949809265136719,2.5519273889723864,1.5194806346444152,51.17044764927456,Intermediate region,16,4.39716117076705e-05
29,0.03,2600.0,1200.0,1.4,0.7077282714843751,1.5533289969899762,1.828044349577412,36.397453962053575,Intermediate region,14,3.2312828384519534e-05
30,0.03,2267.0,1200.0,1.4,0.585183440486363,1.1838232834549811,2.0377888845372825,30.095148367870095,Intermediate region,17,2.480266467975661e-06
31,0.05,7600.0,1200.0,1.4,3.1224591936383934,32.875031485722005,0.7155360230281385,267.63935945471945,Intermediate region,18,4.2768588369999105e-05
32,0.05,5323.0,1200.0,1.4,2.3693564395904545,21.177217179918998,0.8005103645308799,203.08769482203897,Intermediate region,18,2.780104605547883e-05
33,0.05,3500.0,1200.0,1.4,1.6352126530238564,11.813622530210127,0.937547932497944,140.161084544902,Intermediate region,17,2.8495410331277295e-05
34,0.05,2600.0,1200.0,1.4,1.1870315551757815,7.191164334999907,1.0830127104445635,101.74556187220985,Intermediate region,16,8.169944409839371e-06
35,0.05,2267.0,1200.0,1.4,0.9939268090384348,5.480483977354261,1.1772507364713074,85.1937264890087,Intermediate region,16,3.0247965100998857e-05
36,0.07,7600.0,1200.0,1.4,4.166136474609377,90.20588243480954,0.562691910035133,499.9363769531254,Intermediate region,19,7.250004061311119e-06
37,0.07,5323.0,1200.0,1.4,3.1774822167205823,58.11287771212313,0.6231734204714916,381.29786600647,Intermediate region,18,1.6833021099831287e-05
38,0.07,3500.0,1200.0,1.4,2.2108965835571297,32.4177683569986,0.7180406880171594,265.3075900268556,Intermediate region,18,8.155594724499993e-06
39,0.07,2600.0,1200.0,1.4,1.6185342407226564,19.73174251740699,0.8155009166437371,194.2241088867188,Intermediate region,16,3.300183860702402e-05
40,0.07,2267.0,1200.0,1.4,1.3625619794464119,15.039038806029152,0.8770217101148159,163.50743753356946,Intermediate region,18,9.034964764554082e-06
41,0.1,7600.0,1200.0,1.4,5.602064732142859,262.9818354073856,0.44455795232686873,960.3539540816329,Intermediate region,15,2.725897207981288e-05
42,0.1,5323.0,1200.0,1.4,4.288083301544191,169.4275444697955,0.4888284415241182,735.0999945504327,Intermediate region,19,3.0084025165689813e-05
